BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
127,85,541,77,58,488,616,559,939,711,685,491,616,577,656,582,545,596,508,464,803,432.0,391.0,868.0,267,239,699,38,23,28
96,75,1019,315,281,794,432,391,868,136,107,1055,744,678,1315,558,520,857,288,230,965,44.0,26.0,1.0,243,181,750,261,226,734
194,168,556,122,86,859,7,4,93,439,412,584,443,406,409,475,435,797,361,335,460,432.0,391.0,868.0,173,154,346,9,13,0
320,298,502,192,161,744,432,391,868,478,442,633,619,616,576,140,99,924,330,304,604,403.0,366.0,811.0,549,524,495,9,13,0
6,4,75,144,123,533,35,40,75,319,287,804,268,233,732,453,425,629,335,271,1007,432.0,391.0,868.0,299,268,508,530,489,941
331,289,886,327,298,677,432,391,868,314,295,697,423,387,844,59,58,22,330,304,604,508.0,464.0,803.0,23,23,41,150,131,542
107,76,565,106,83,1,410,342,1009,7,5,68,413,369,926,8,10,11,573,535,739,686.0,619.0,1255.0,16,8,62,393,343,1032
18,16,59,10,1,47,393,343,1032,1089,1035,1008,640,576,1204,8,10,11,147,114,978,650.0,588.0,951.0,16,8,62,469,430,906
373,340,709,146,114,962,393,343,1032,193,159,617,170,162,523,18,16,59,107,74,706,650.0,588.0,951.0,267,239,699,34,34,28
962,916,775,330,303,620,49,43,75,20,1,57,393,343,1032,670,635,730,225,188,685,642.0,567.0,1422.0,143,124,720,63,59,58
323,282,886,56,23,37,232,178,1044,667,619,918,0,5,0,962,916,775,302,265,867,169.0,160.0,880.0,365,310,969,393,343,1032
323,282,886,302,265,867,807,770,1008,42,34,75,485,442,788,457,386,1145,196,150,723,342.0,307.0,688.0,475,435,797,393,343,1032
153,129,623,564,532,808,44,26,1,2,3,11,393,343,1032,16,13,0,149,117,1100,787.0,745.0,717.0,358,331,480,99,69,1201
226,167,1073,123,96,1115,17,12,46,146,88,948,393,343,1032,158,138,934,262,218,893,467.0,425.0,742.0,357,278,1428,498,457,889
158,115,947,100,46,100,414,398,942,42,34,75,393,343,1032,281,227,941,241,201,818,552.0,499.0,1057.0,340,256,1462,498,457,889
158,115,947,262,218,893,277,273,749,340,256,1462,552,498,1074,142,98,763,327,298,677,555.0,489.0,1276.0,686,619,1255,393,343,1032
158,115,947,58,58,33,49,43,75,276,227,701,423,387,844,464,430,774,108,79,529,639.0,596.0,902.0,358,331,480,393,343,1032
505,470,720,213,174,803,226,183,432,206,114,1687,88,63,75,156,129,1086,37,23,168,357.0,278.0,1428.0,146,88,948,393,343,1032
142,98,763,179,125,968,17,12,46,667,619,918,393,343,1032,220,181,729,330,304,604,616.0,577.0,656.0,642,567,1422,530,489,941
220,181,729,278,234,935,508,464,803,461,411,884,485,442,788,194,149,837,108,79,529,365.0,310.0,969.0,347,275,1236,393,343,1032
306,271,1055,179,125,968,200,144,940,146,111,829,160,136,629,178,179,656,541,510,691,28.0,18.0,55.0,667,620,902,393,343,1032
505,470,720,61,43,543,31,11,100,179,171,691,393,343,1032,128,78,858,4,7,65,97.0,59.0,406.0,667,620,902,301,266,755
