SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,268,234,13,429,888,62,78,84,30,-1,887,59,103,235,223,111,78,-1,68,119,0,9,20,0,1,0,1,0,1,1,1,4,2,0,0,2,0,0,1
KOREA,79,78,142,157,12,15,91,114,429,777,113,104,268,360,44,55,238,35,41,7,0,22,30,1,2,1,0,2,0,1,2,7,1,0,1,1,0,1,1
KOREA,777,64,7,110,12,78,163,350,55,119,887,234,517,429,497,163,15,-1,55,236,0,23,34,1,0,3,0,1,0,0,3,10,1,0,1,1,0,2,1
KOREA,887,80,7,81,555,-1,517,58,895,68,114,107,163,429,875,42,421,350,-1,517,1,37,43,1,1,3,1,0,2,1,3,9,1,0,1,1,0,1,1
KOREA,58,76,517,221,234,887,119,-1,55,41,113,254,268,157,555,895,119,114,105,429,0,38,13,0,1,0,0,2,0,0,10,0,2,0,0,0,1,0,0
KOREA,887,62,13,221,875,68,163,895,55,-1,266,80,517,15,350,429,-1,555,-1,268,1,13,7,0,2,0,1,0,1,0,1,1,2,0,0,2,0,0,0
KOREA,166,163,777,81,201,150,24,-1,429,-1,3,91,268,119,111,350,55,429,24,236,1,9,22,1,0,1,1,0,1,1,0,2,2,0,0,2,0,0,1
KOREA,266,254,163,221,201,267,105,895,350,55,79,120,103,119,111,-1,150,350,429,58,1,6,22,0,1,2,0,1,1,0,2,2,1,0,1,2,0,0,1
KOREA,41,236,127,76,267,163,91,-1,102,429,516,203,7,15,235,55,119,114,64,555,0,13,35,1,0,2,0,1,1,1,1,6,2,0,0,1,0,1,1
KOREA,887,78,777,498,888,43,350,119,429,-1,876,62,13,110,117,429,895,-1,15,55,1,10,36,1,0,2,1,0,2,1,2,8,1,0,1,1,0,1,1
KOREA,887,104,147,29,53,895,200,516,119,-1,23,234,13,15,497,64,107,350,163,236,0,48,25,0,3,0,0,2,0,1,10,4,0,1,0,0,2,0,0
KOREA,8,234,777,15,350,39,55,235,200,429,517,76,58,523,32,30,119,-1,163,55,1,12,23,1,0,3,1,0,2,1,1,8,2,0,0,1,0,1,1
KOREA,39,78,245,221,22,163,350,-1,68,119,24,200,268,157,888,119,55,-1,76,-1,1,18,31,1,0,4,1,0,2,1,4,8,1,0,1,1,0,1,1
KOREA,112,91,711,81,555,-1,39,429,30,55,64,80,7,15,350,78,246,-1,163,68,1,17,18,1,1,1,1,0,2,1,3,3,2,0,0,2,0,0,1
KOREA,113,78,268,221,111,163,20,-1,429,350,39,48,112,15,22,24,895,91,105,119,0,34,24,1,3,1,0,1,1,1,8,4,0,1,0,0,2,0,0
KOREA,887,80,7,221,497,-1,234,-1,163,895,85,238,711,888,18,55,78,-1,119,-1,0,16,17,1,0,2,1,0,2,1,1,4,2,0,0,2,0,0,1
KOREA,68,104,777,350,15,105,119,236,268,163,517,62,84,221,888,234,895,-1,-1,76,1,18,30,1,0,2,0,1,1,0,2,3,1,0,1,2,0,0,1
KOREA,64,203,517,236,267,119,-1,78,105,429,113,76,234,221,117,895,91,-1,268,429,0,7,22,1,0,2,0,2,0,1,2,3,2,0,0,2,0,0,1
KOREA,516,62,268,15,517,887,555,895,76,429,234,78,105,119,235,429,7,163,24,895,1,25,41,1,1,3,0,2,0,1,6,8,0,1,0,0,1,1,1
KOREA,68,30,91,221,111,23,895,-1,119,163,69,120,84,15,223,777,58,119,429,163,0,42,23,1,1,1,1,1,1,0,5,3,0,1,0,0,1,0,0
KOREA,64,30,91,221,235,119,163,268,895,78,150,254,7,147,22,120,-1,429,236,119,1,14,35,1,0,2,1,0,2,1,0,10,2,0,0,1,0,1,1
KOREA,69,254,166,18,888,887,895,-1,7,78,120,86,268,429,22,517,246,163,777,234,1,7,18,1,0,2,0,2,0,0,3,2,2,0,0,2,0,0,1
KOREA,24,234,103,15,888,119,268,517,-1,107,266,64,127,202,12,429,895,163,80,39,1,28,18,1,2,2,0,2,0,0,5,2,2,0,0,0,1,0,0
KOREA,41,254,163,236,267,119,429,895,7,62,266,104,711,15,350,22,120,-1,80,68,0,31,7,0,1,0,1,1,1,1,2,1,2,0,0,2,0,0,0
KOREA,114,62,105,110,89,895,350,78,-1,7,58,120,268,15,12,517,234,55,119,163,0,30,35,1,1,2,0,1,1,0,5,9,1,0,1,1,0,2,1
KOREA,887,234,517,221,111,895,68,78,163,429,84,64,157,15,89,78,39,-1,895,7,1,33,20,0,4,0,1,1,1,1,8,3,0,2,0,0,1,0,0
KOREA,517,234,105,15,350,163,119,3,-1,7,268,421,711,221,12,76,429,-1,163,-1,0,34,24,1,0,3,0,2,0,1,5,7,0,1,0,0,1,1,1
KOREA,92,246,163,202,267,78,-1,91,58,429,24,421,711,119,888,-1,91,-1,350,76,1,15,28,1,0,3,0,2,0,0,2,9,1,0,1,1,0,2,1
KOREA,24,78,7,523,888,-1,-1,-1,119,55,887,246,711,429,80,119,-1,163,350,20,1,36,22,1,3,1,0,1,1,0,9,3,1,1,1,0,2,0,0
KOREA,875,32,517,29,350,163,-1,360,429,91,516,60,234,523,111,887,119,163,-1,-1,1,20,8,1,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0
KOREA,122,59,268,221,350,246,78,895,67,-1,164,107,3,15,497,78,429,48,62,163,1,14,35,1,0,3,0,1,1,0,3,9,1,0,1,1,0,1,1
