SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE WEST,122,163,84,236,888,200,555,30,350,107,240,59,517,429,50,147,203,119,39,887,0
EUROPE WEST,58,113,517,157,235,28,887,429,200,350,516,64,55,81,555,147,166,887,119,429,1
EUROPE WEST,516,2,517,360,111,122,200,429,78,28,240,20,163,119,44,887,200,62,15,25,0
EUROPE WEST,887,234,517,523,44,122,200,166,429,119,40,5,101,221,37,555,895,84,429,120,0
EUROPE WEST,777,80,157,161,497,163,38,887,429,107,114,78,103,96,26,29,246,104,141,84,1
EUROPE WEST,122,141,89,18,103,163,895,92,119,888,102,234,84,202,350,119,777,29,78,429,0
EUROPE,266,64,7,236,267,15,107,350,119,234,84,120,61,221,117,122,55,119,887,62,0
EUROPE,98,59,55,360,111,163,166,91,429,350,113,64,517,119,888,429,350,235,163,40,1
EUROPE,58,60,163,221,117,150,141,7,131,-1,113,200,517,81,43,350,268,777,107,119,0
EUROPE,80,234,103,74,432,79,200,15,23,119,113,62,105,360,888,84,777,163,350,119,1
EUROPE,24,234,517,523,432,-1,141,114,62,15,85,64,84,429,888,107,200,-1,350,62,0
EUROPE,27,77,40,15,147,150,-1,157,203,888,113,234,103,429,497,16,107,119,268,350,1
EUROPE,24,103,64,145,875,200,163,119,350,92,150,76,157,29,32,429,350,92,517,7,1
EUROPE,10,2,112,21,201,-1,350,40,107,119,114,131,39,429,32,350,517,163,119,78,0
EUROPE,887,200,127,429,50,163,350,29,777,119,17,427,45,21,12,91,28,1,888,350,1
EUROPE,122,20,84,29,888,235,24,268,121,119,67,154,50,429,32,360,91,107,62,350,1
EUROPE,102,234,163,202,432,350,887,107,78,429,113,59,84,119,44,350,429,200,38,421,0
EUROPE,113,163,91,51,40,114,7,64,350,246,266,30,777,81,43,35,28,39,119,55,1
EUROPE,122,238,517,81,43,119,200,163,28,114,350,64,84,96,266,895,429,119,200,268,0
EUROPE,113,200,101,895,111,166,29,887,84,141,59,104,7,81,43,119,78,350,555,429,0
EUROPE,6,76,39,895,111,119,78,-1,67,429,113,5,103,523,432,141,78,119,350,163,1
EUROPE,517,91,268,895,117,55,60,62,15,122,887,78,516,74,235,48,119,19,107,350,1
EUROPE,157,104,131,15,888,-1,80,114,163,350,150,234,777,74,235,119,55,107,555,163,0
EUROPE,78,80,55,221,266,119,517,166,350,20,84,234,235,29,26,141,113,245,429,432,0
EUROPE,23,107,7,119,497,200,131,429,141,117,24,60,268,21,555,42,163,62,350,895,1
EUROPE,113,78,166,110,101,268,119,104,350,84,24,5,3,895,888,7,163,350,119,107,0
EUROPE,92,62,7,18,44,55,777,119,895,888,134,200,157,429,432,78,38,122,163,517,0
EUROPE,122,887,166,145,555,40,24,429,895,163,62,131,157,15,497,78,119,7,163,429,1
EUROPE,150,200,55,498,497,517,268,119,350,40,516,141,84,81,21,555,517,107,28,86,0
EUROPE,84,59,103,429,497,119,40,107,113,432,887,254,61,29,89,350,235,432,141,895,0
EUROPE,79,11,163,81,25,107,121,62,555,15,126,80,221,119,111,517,55,432,62,-1,1
EUROPE,150,131,245,145,555,888,7,15,421,221,6,9,61,498,497,119,67,40,62,21,1
EUROPE,58,76,84,119,555,517,2,-1,895,107,150,113,44,67,39,111,888,777,28,221,0
EUROPE,240,30,122,134,432,350,119,67,40,114,86,203,526,18,34,164,28,246,350,555,0
EUROPE,85,131,7,157,526,429,28,777,86,555,19,141,517,119,497,67,58,84,40,21,1
EUROPE,85,104,86,523,497,-1,163,40,114,78,58,60,84,119,888,517,887,555,62,28,0
EUROPE,39,163,777,29,497,147,119,555,80,887,23,203,61,145,43,62,895,119,40,21,0
EUROPE,887,60,112,429,44,78,84,62,119,246,266,200,268,22,111,114,245,350,40,78,0
EUROPE,164,60,157,15,235,55,24,429,84,78,23,254,42,145,555,119,40,163,77,114,1
